Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q0_Values:customer-FURNITURE_Id:0,299496,492436.5,480564,491939,493619,494364,498151,498151
q0_Values:customer-BUILDING_Id:1,300276,495308.6,487492,494094,496780,498199,499008,499008
q0_Values:customer-HOUSEHOLD_Id:2,299751,496300.0,490429,494613,497789,498500,498927,498927
q0_Values:customer-MACHINERY_Id:3,300441,500452.9,490202,493927,501362,506341,513366,513366
q0_Values:customer-AUTOMOBILE_Id:4,300036,496293.9,486141,493025,497938,498850,503713,503713
q0_Values:customer_mktsegZipf-FURNITURE_Id:5,218853,354388.9,344866,351514,355674,356544,361499,361499
q0_Values:customer_mktsegZipf-BUILDING_Id:6,328484,543783.4,539870,541311,542847,545539,549725,549725
q0_Values:customer_mktsegZipf-HOUSEHOLD_Id:7,163852,258859.7,256199,257387,258979,260207,262016,262016
q0_Values:customer_mktsegZipf-MACHINERY_Id:8,131232,209088.4,205534,207624,209850,210374,211563,211563
q0_Values:customer_mktsegZipf-AUTOMOBILE_Id:9,657579,601480.6,581961,582450,585862,599669,715679,715679
q0_Values:customer_mktsegBinomial-FURNITURE_Id:10,93340,147256.4,144768,145231,147827,148271,150601,150601
q0_Values:customer_mktsegBinomial-BUILDING_Id:11,375882,624070.5,613294,621280,625240,626928,633762,633762
q0_Values:customer_mktsegBinomial-HOUSEHOLD_Id:12,562010,529925.4,520351,520784,524072,526681,561800,561800
q0_Values:customer_mktsegBinomial-MACHINERY_Id:13,374603,624235.9,617895,619117,626142,626457,631497,631497
q0_Values:customer_mktsegBinomial-AUTOMOBILE_Id:14,94165,149682.2,146192,148213,149916,150108,154536,154536
q0_Values:customer_bloatedmktseg-FURNITURE_Id:15,0,31647.3,31075,31148,31615,31955,32932,32932
q0_Values:customer_bloatedmktseg-BUILDING_Id:16,0,32179.5,30782,31052,32025,32965,35111,35111
q0_Values:customer_bloatedmktseg-HOUSEHOLD_Id:17,0,31348.2,30808,30865,31091,31586,33142,33142
q0_Values:customer_bloatedmktseg-MACHINERY_Id:18,0,31423.0,30635,30935,31390,31705,33246,33246
q0_Values:customer_bloatedmktseg-AUTOMOBILE_Id:19,0,32327.1,30805,31071,31230,31634,42064,42064
q1_Values:customer-1_Id:20,59841,91813.2,87844,90962,92670,93062,94565,94565
q1_Values:customer-2_Id:21,59952,90992.5,88483,90316,90984,92111,92824,92824
q1_Values:customer-3_Id:22,59849,90555.8,88505,89277,91046,92046,92417,92417
q1_Values:customer-4_Id:23,59969,92334.9,89497,90630,93138,93413,94401,94401
q1_Values:customer-5_Id:24,60471,92306.4,87233,92468,92922,93202,93980,93980
q1_Values:customer-7_Id:25,60153,91392.5,88595,90027,91787,92826,93133,93133
q1_Values:customer-12_Id:26,59757,89738.7,88057,88812,90098,90685,90794,90794
q1_Values:customer-15_Id:27,59834,89569.6,87035,88578,90374,90973,91700,91700
q1_Values:customer-20_Id:28,59803,90324.5,86455,89711,91486,91580,92149,92149
q1_Values:customer-23_Id:29,60381,91976.7,88108,90861,92648,93460,93581,93581
q1_Values:customer_nationkeyZipf1-1_Id:30,43605,50885.0,48395,48437,50661,52704,54512,54512
q1_Values:customer_nationkeyZipf1-2_Id:31,30197,43047.7,42038,42394,43330,43493,44352,44352
q1_Values:customer_nationkeyZipf1-3_Id:32,18830,39705.4,38641,39171,39673,40342,41524,41524
q1_Values:customer_nationkeyZipf1-4_Id:33,32715,44691.9,42617,44246,44874,45209,46239,46239
q1_Values:customer_nationkeyZipf1-5_Id:34,24414,41997.4,40229,41602,41936,42460,44614,44614
q1_Values:customer_nationkeyZipf1-7_Id:35,17664,39269.7,36748,38695,38998,40048,43428,43428
q1_Values:customer_nationkeyZipf1-12_Id:36,48885,68408.8,64301,66322,69016,70751,71032,71032
q1_Values:customer_nationkeyZipf1-15_Id:37,21936,40807.5,40211,40288,40961,41260,41756,41756
q1_Values:customer_nationkeyZipf1-20_Id:38,20809,40006.4,38580,39750,40150,40542,40761,40761
q1_Values:customer_nationkeyZipf1-23_Id:39,65448,102574.1,99520,102409,102762,102913,105041,105041
q1_Values:customer_nationkeyZipf2-1_Id:40,11485,36620.8,34959,35480,36299,37186,39581,39581
q1_Values:customer_nationkeyZipf2-2_Id:41,1892,28710.0,28238,28454,28584,28735,30018,30018
q1_Values:customer_nationkeyZipf2-3_Id:42,9248,34392.0,33557,33802,34413,34844,35210,35210
q1_Values:customer_nationkeyZipf2-4_Id:43,3209,30762.3,28804,29374,29758,32567,36430,36430
q1_Values:customer_nationkeyZipf2-5_Id:44,103977,166851.4,165117,165774,167365,167766,167917,167917
q1_Values:customer_nationkeyZipf2-7_Id:45,3037,30049.4,29453,29521,29856,30560,31026,31026
q1_Values:customer_nationkeyZipf2-12_Id:46,4057,31272.2,30474,30905,31002,31859,32289,32289
q1_Values:customer_nationkeyZipf2-15_Id:47,26242,41546.5,40157,41204,41723,41866,42828,42828
q1_Values:customer_nationkeyZipf2-20_Id:48,6626,33647.5,32378,32858,33711,34081,35629,35629
q1_Values:customer_nationkeyZipf2-23_Id:49,3685,30747.4,29602,30075,30251,30816,33809,33809
q1_Values:customer_nationkeyZipfWorstcase-1_Id:50,195903,322431.2,318267,321729,322557,324224,325266,325266
q1_Values:customer_nationkeyZipfWorstcase-2_Id:51,130877,209238.7,205342,208849,209237,210272,211394,211394
q1_Values:customer_nationkeyZipfWorstcase-3_Id:52,98455,157789.2,154270,156570,158981,159251,159843,159843
q1_Values:customer_nationkeyZipfWorstcase-4_Id:53,78479,124139.2,120575,123571,124833,124905,125770,125770
q1_Values:customer_nationkeyZipfWorstcase-5_Id:54,65132,101182.3,99172,100448,100867,102166,103060,103060
q1_Values:customer_nationkeyZipfWorstcase-7_Id:55,49383,70314.5,67701,68435,70832,71134,72268,72268
q1_Values:customer_nationkeyZipfWorstcase-12_Id:56,30078,42255.1,41246,41704,41975,43042,43178,43178
q1_Values:customer_nationkeyZipfWorstcase-15_Id:57,24540,41075.0,38842,40469,41095,41389,44696,44696
q1_Values:customer_nationkeyZipfWorstcase-20_Id:58,18667,39067.4,38299,38663,38993,39573,40049,40049
q1_Values:customer_nationkeyZipfWorstcase-23_Id:59,16181,37408.7,36167,36825,37175,38119,39440,39440
q1_Values:customer_nationkeyBinomial-1_Id:60,1,28625.3,28172,28372,28531,28674,29814,29814
q1_Values:customer_nationkeyBinomial-2_Id:61,18,28837.5,28086,28195,28544,29380,30807,30807
q1_Values:customer_nationkeyBinomial-3_Id:62,105,28302.2,27896,28038,28295,28444,28862,28862
q1_Values:customer_nationkeyBinomial-4_Id:63,555,28299.7,27855,27980,28072,28239,30541,30541
q1_Values:customer_nationkeyBinomial-5_Id:64,2361,29188.8,28523,28799,28905,29443,31405,31405
q1_Values:customer_nationkeyBinomial-7_Id:65,21621,39868.9,39064,39591,40012,40147,40471,40471
q1_Values:customer_nationkeyBinomial-12_Id:66,232123,382817.2,377222,379535,383085,384863,388752,388752
q1_Values:customer_nationkeyBinomial-15_Id:67,146251,233541.6,230435,232126,234117,234802,235890,235890
q1_Values:customer_nationkeyBinomial-20_Id:68,2369,29837.0,28993,29575,29883,30095,30816,30816
q1_Values:customer_nationkeyBinomial-23_Id:69,9,28580.7,27853,28116,28264,28361,31788,31788
q1_Values:customer_nationkeyBinomial2-1_Id:70,0,28462.2,28233,28325,28485,28534,28995,28995
q1_Values:customer_nationkeyBinomial2-2_Id:71,0,28627.4,28337,28389,28560,28772,29438,29438
q1_Values:customer_nationkeyBinomial2-3_Id:72,0,29064.5,28299,28675,28995,29482,30027,30027
q1_Values:customer_nationkeyBinomial2-4_Id:73,0,28590.5,28179,28375,28678,28846,28931,28931
q1_Values:customer_nationkeyBinomial2-5_Id:74,0,28983.4,28507,28675,28954,28977,30186,30186
q1_Values:customer_nationkeyBinomial2-7_Id:75,0,28700.0,28286,28492,28673,28989,29195,29195
q1_Values:customer_nationkeyBinomial2-12_Id:76,431,28746.6,28174,28217,28399,28508,32327,32327
q1_Values:customer_nationkeyBinomial2-15_Id:77,17584,40174.6,38268,38869,39479,39806,47512,47512
q1_Values:customer_nationkeyBinomial2-20_Id:78,293767,489807.8,478575,487272,490515,490577,499777,499777
q1_Values:customer_nationkeyBinomial2-23_Id:79,106772,171214.2,167515,170076,171743,172707,173204,173204
q1_Values:customer_nationkeyBinomial3-1_Id:80,35448,44199.7,42504,43306,44226,45346,45983,45983
q1_Values:customer_nationkeyBinomial3-2_Id:81,106273,170952.9,167498,170443,171390,171912,172951,172951
q1_Values:customer_nationkeyBinomial3-3_Id:82,203991,338255.6,333745,336778,338089,340920,342153,342153
q1_Values:customer_nationkeyBinomial3-4_Id:83,279907,468302.5,463329,466119,468334,470717,473684,473684
q1_Values:customer_nationkeyBinomial3-5_Id:84,293353,493382.9,489430,491085,493154,494142,501496,501496
q1_Values:customer_nationkeyBinomial3-7_Id:85,166005,268093.8,264088,265997,267483,268609,275051,275051
q1_Values:customer_nationkeyBinomial3-12_Id:86,1833,29240.2,28409,28556,28926,29825,31400,31400
q1_Values:customer_nationkeyBinomial3-15_Id:87,19,29133.6,27813,27920,28141,28396,38513,38513
