Queries, Returned rows, Average time(us), Minimum time, 25thPercentile, Median, 75thPercentile(us), 90thPercentile(us), Maximum 
q0_Values:customer-FURNITURE_Id:0,29968,39379.9,35373,35423,36606,39592,57460,57460
q0_Values:customer-BUILDING_Id:1,30142,35282.0,34916,35022,35136,35300,36509,36509
q0_Values:customer-HOUSEHOLD_Id:2,30189,35245.0,34924,35210,35290,35330,35482,35482
q0_Values:customer-MACHINERY_Id:3,29949,36147.6,34313,34670,34839,35020,44132,44132
q0_Values:customer-AUTOMOBILE_Id:4,29752,37059.9,34126,34334,34443,34857,47595,47595
q0_Values:customer_mktsegZipf-FURNITURE_Id:5,21904,31841.1,29425,30033,30237,30305,40154,40154
q0_Values:customer_mktsegZipf-BUILDING_Id:6,32802,38427.4,36759,36910,37021,37221,44989,44989
q0_Values:customer_mktsegZipf-HOUSEHOLD_Id:7,16323,26714.6,25277,25483,25610,25737,34802,34802
q0_Values:customer_mktsegZipf-MACHINERY_Id:8,13140,23340.8,23129,23195,23294,23467,23673,23673
q0_Values:customer_mktsegZipf-AUTOMOBILE_Id:9,65831,58747.0,58151,58226,58467,58746,60200,60200
q0_Values:customer_mktsegBinomial-FURNITURE_Id:10,9496,21959.0,20934,21148,21471,21576,27484,27484
q0_Values:customer_mktsegBinomial-BUILDING_Id:11,37368,39693.1,39349,39445,39628,39917,40278,40278
q0_Values:customer_mktsegBinomial-HOUSEHOLD_Id:12,56321,52514.1,51948,52377,52498,52656,53164,53164
q0_Values:customer_mktsegBinomial-MACHINERY_Id:13,37414,39314.3,38900,39044,39363,39401,39862,39862
q0_Values:customer_mktsegBinomial-AUTOMOBILE_Id:14,9401,20467.6,20339,20387,20479,20528,20562,20562
q0_Values:customer_bloatedmktseg-FURNITURE_Id:15,0,14856.3,13957,14215,14315,14449,19800,19800
q0_Values:customer_bloatedmktseg-BUILDING_Id:16,0,13968.4,13822,13877,13967,14029,14202,14202
q0_Values:customer_bloatedmktseg-HOUSEHOLD_Id:17,0,13985.6,13835,13912,13973,14065,14181,14181
q0_Values:customer_bloatedmktseg-MACHINERY_Id:18,0,13932.8,13769,13831,13976,14041,14136,14136
q0_Values:customer_bloatedmktseg-AUTOMOBILE_Id:19,0,14015.4,13830,13950,14013,14150,14163,14163
q1_Values:customer-1_Id:20,5975,18278.2,16895,16990,17187,17363,26332,26332
q1_Values:customer-2_Id:21,5999,17043.2,16830,16847,16970,17157,17404,17404
