C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
24,8662,148,445,2,4353
6,9307,511,240,0,5193
21,10421,842,491,4,190
11,4894,330,849,1,7417
0,9504,918,814,1,1346
21,2991,3,299,3,4595
4,6659,219,472,1,6500
23,4483,618,532,2,4395
3,3111,534,294,0,8214
2,3839,917,204,1,4828
8,2275,981,482,4,1455
9,93,943,683,2,7465
3,3127,547,732,2,9680
9,2250,125,670,0,2519
3,1685,395,492,3,9994
15,7949,719,701,0,2652
13,2961,848,339,1,6870
12,4323,790,965,2,5758
2,992,754,248,4,659
19,493,431,602,1,7412
5,765,912,310,2,938
19,2877,371,614,3,5765
8,9126,401,894,2,7283
23,5118,388,1052,0,7327
7,1399,159,997,3,9255
6,9182,529,673,4,3492
0,2062,382,478,0,7614
24,9931,817,177,4,8982
8,585,706,328,3,1216
6,3954,769,859,2,642
19,9747,751,976,1,8507
21,5118,829,940,3,5967
9,3227,891,293,2,4811
6,7113,766,1051,4,2654
9,7031,590,647,1,2403
8,6943,310,403,3,657
18,6017,376,604,0,3814
12,2913,910,801,1,8710
10,7515,565,893,1,3814
4,4127,851,287,2,2501
13,4559,950,451,3,36
7,5568,937,277,4,5853
4,2790,443,184,0,4164
21,9474,125,841,0,8710
14,10498,287,557,2,4971
0,2051,352,662,0,9008
9,7118,211,617,1,5110
11,5740,501,257,0,2873
2,6956,672,504,2,34
10,1250,729,391,1,4326
2,407,162,808,2,546
4,4617,706,725,1,7170
22,1335,994,611,3,2451
6,4447,988,671,1,1037
11,1633,76,194,4,4595
20,9747,636,955,1,9616
0,5143,363,340,0,660
11,1496,717,717,3,1980
7,3471,925,567,2,9647
21,9598,75,922,0,2544
14,6017,936,760,4,1899
13,8373,251,223,4,4595
0,10387,210,301,1,1339
12,2263,765,691,0,3831
23,568,808,533,3,7288
11,6017,643,931,2,6061
11,10369,349,267,3,7327
21,5979,696,838,1,3814
13,8049,4,1054,2,2709
6,5116,583,211,1,3955
13,1945,730,823,0,2709
10,8887,416,751,3,8365
20,2913,536,324,3,3814
20,3299,567,221,1,9247
9,5879,654,907,3,2681
12,1040,456,263,0,2479
5,9947,745,774,2,7626
12,1807,366,586,3,2479
14,1934,836,850,4,5967
6,4449,498,1082,0,5027
16,408,876,603,2,8507
1,6546,154,491,2,5225
15,10977,748,736,0,7327
1,5051,598,1104,2,4845
9,7023,353,147,4,6788
20,2991,918,914,2,36
13,2725,883,277,2,6061
19,7760,36,547,4,5765
11,8719,966,343,2,7412
21,2333,716,518,1,8710
6,8340,760,1126,1,3740
24,6601,159,430,4,781
14,5490,772,650,4,5967
0,6214,845,167,4,6689
14,5593,927,781,1,7412
2,2077,280,834,3,8405
18,1155,571,99,0,5444
20,7287,346,284,1,891
17,1250,119,463,3,4326
14,1992,588,500,1,1924
16,2239,340,415,4,6061
11,5118,397,514,3,4326
11,3779,690,673,3,8176
20,2913,473,976,1,7327
17,5051,332,537,1,5758
15,4979,85,594,4,1924
19,5593,633,110,4,5967
13,1707,582,642,3,7417
11,4501,713,1050,3,8710
7,4204,32,958,4,8755
2,6177,707,845,0,1931
4,10118,406,678,4,5160
23,4549,617,585,1,8507
9,3616,525,372,1,1197
2,5351,109,424,2,6070
16,10849,211,746,4,9226
24,7559,428,875,3,2709
6,1788,263,514,1,3936
0,4313,634,819,3,9610
3,7243,846,796,1,5681
2,6498,905,225,3,6694
14,282,236,821,2,3493
1,290,385,896,0,5764
1,6550,542,279,4,3209
