C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
16,10946,325,716,0,7305
8,4945,494,780,1,2283
0,7638,603,895,4,8258
8,6734,505,266,3,7311
13,10961,884,703,4,1546
19,8303,232,578,2,811
18,6801,837,383,3,811
1,4037,514,160,0,2260
20,3333,246,781,3,7747
24,6594,552,158,0,9754
1,6596,771,735,2,6816
0,8339,384,192,1,197
8,6342,326,591,0,5291
23,1054,445,941,2,5891
4,8099,40,535,1,6430
1,5612,131,1111,0,2076
13,1409,429,816,4,7747
8,7983,139,174,0,9990
2,872,475,751,4,6196
7,5689,869,293,1,9529
24,3611,558,840,2,6238
10,6760,113,808,1,6102
16,10025,607,289,0,4992
22,2137,107,232,4,1361
23,10961,933,919,4,5891
14,3031,953,173,2,5701
3,7767,371,412,2,5399
17,9879,408,193,3,1314
8,1448,786,509,0,8271
9,5704,569,831,4,3678
7,8342,19,531,3,268
10,3397,766,302,1,467
2,2455,606,290,0,5248
24,9304,853,574,2,8920
9,6428,104,251,4,1019
13,4829,725,902,4,1361
23,3160,626,430,0,5984
3,5561,364,775,3,1964
5,3064,290,691,4,1050
16,7437,323,223,1,7154
10,10850,737,726,4,1314
12,7734,235,1105,0,811
8,6949,605,608,3,9471
23,294,98,316,1,6102
22,7767,591,304,0,6054
21,5588,392,1059,3,5701
15,1054,777,1060,4,7305
16,770,300,410,0,5891
16,3606,404,716,4,8920
13,6490,867,379,1,6054
18,9181,313,252,0,1546
3,10751,932,382,1,550
22,10692,688,301,0,7993
3,9539,725,696,4,1620
5,4063,694,842,1,6402
4,9757,896,1111,3,6322
17,3851,794,604,4,9782
6,5271,752,638,0,5908
11,6737,891,818,3,6102
22,8392,818,866,0,3510
2,2396,571,546,1,55
7,699,301,256,3,598
19,1147,76,706,1,1546
17,7747,397,909,2,40
12,248,926,812,3,6690
12,1108,488,652,3,5891
19,5200,912,232,3,1314
21,1344,181,814,1,1619
20,189,57,417,2,7787
16,4829,845,930,2,5701
3,8841,569,489,2,8213
6,10404,713,404,4,3680
7,5188,316,842,4,4927
3,7767,986,307,3,9422
11,4829,154,527,0,1361
17,8681,590,328,4,4992
18,9256,284,361,4,3916
12,4829,37,265,4,6238
20,3851,203,320,0,6690
0,4376,626,1069,2,5458
12,10104,512,168,2,9284
7,6636,522,7,2,4108
23,9879,389,613,4,811
4,10761,949,654,4,9017
2,9671,64,653,0,2539
12,1054,539,1006,0,5891
4,4434,246,415,3,8668
1,5210,733,716,2,5042
1,5186,135,575,3,52
12,6748,453,649,3,9592
12,2404,253,770,1,4992
1,930,963,402,0,4511
23,3611,362,706,2,5984
18,6392,817,164,2,9284
20,8485,677,647,3,7747
2,2057,323,853,1,4495
19,4623,299,1090,2,346
23,6789,790,581,3,3916
23,872,721,953,4,6238
2,4095,292,867,1,3318
4,6964,726,367,2,7448
4,2195,40,639,3,5104
9,1722,277,838,2,6885
19,6318,629,815,3,6238
24,10163,666,297,0,1084
20,7041,853,565,0,4992
5,8546,453,373,1,3565
10,10696,242,785,2,1944
14,10834,441,669,3,4992
22,6346,485,581,0,3916
19,5044,969,1032,2,7154
8,10413,233,191,0,3419
7,1850,392,487,2,5780
13,4529,451,272,0,3088
21,5984,730,565,3,4992
13,10254,391,836,4,6238
13,8852,713,478,3,346
17,1086,256,908,4,5701
13,1722,29,761,4,7305
13,3603,98,316,0,2661
8,969,560,452,2,250
3,6748,567,407,3,2180
17,8459,260,890,0,40
23,1116,737,1082,3,40
13,8564,450,508,2,9592
10,4826,367,819,0,3267
11,6392,915,824,2,467
10,1063,796,553,3,7747
20,8303,380,847,3,9782
18,7072,912,199,1,467
2,6959,957,362,0,4939
21,1063,282,885,0,1944
2,287,744,559,4,2706
21,2343,387,756,0,9782
1,371,656,607,2,6224
8,2908,65,690,2,9645
8,7358,929,766,2,4459
7,8681,916,736,4,6724
21,1448,120,943,4,6690
8,9749,20,365,4,7756
10,9153,69,468,3,7747
23,2294,487,1074,3,7154
11,3737,908,755,0,2740
20,817,131,825,1,40
7,9706,514,912,3,9681
18,2137,32,133,2,9754
7,7990,346,306,1,1792
7,5174,706,192,4,6809
4,8839,781,105,2,6545
4,8213,784,463,4,2589
12,10696,618,369,4,40
11,7767,895,217,2,3960
15,3664,126,352,2,444
14,1448,718,792,4,9592
20,9304,857,827,2,9284
17,10127,685,797,4,1314
14,5782,976,788,0,5984
18,6358,596,460,1,7305
12,8905,624,449,2,6102
1,506,376,642,0,3622
14,1054,518,872,1,3088
19,5958,297,558,0,1084
0,2804,881,814,1,1927
19,4077,79,174,2,6102
3,10284,126,244,4,7993
9,3940,799,254,1,4582
12,115,966,354,0,4992
13,1963,264,441,2,8920
2,6069,822,589,3,895
20,9593,642,277,4,3960
16,6760,685,490,4,9284
9,4159,154,665,2,1338
18,10850,266,997,2,4992
4,8635,814,691,2,7316
17,8459,668,998,3,5984
17,10493,391,803,4,7154
24,6490,271,194,0,3916
7,5215,672,965,0,6958
10,1054,838,757,4,5891
7,4392,418,373,0,9548
3,1956,845,1012,3,508
9,5649,596,741,0,5142
20,1086,570,1068,1,6238
7,10094,478,420,0,7026
12,39,394,262,4,3088
21,3031,100,963,1,8920
15,4134,13,398,2,5984
4,1359,425,855,2,2793
16,950,312,488,0,346
21,1448,319,621,0,1314
13,191,165,871,0,346
22,7267,482,601,3,9592
14,10358,751,1031,1,5984
19,8932,346,679,0,6238
15,724,934,326,4,4855
15,3611,704,574,4,7787
19,39,853,302,1,1546
8,10793,300,422,1,4509
19,5905,23,701,2,1619
5,374,280,480,1,3386
8,1700,669,197,0,1964
18,8660,517,747,2,7154
24,6490,910,247,3,3960
18,166,605,305,1,346
3,2611,245,502,2,8335
3,9134,550,946,2,4232
13,248,210,247,1,9754
10,4623,534,723,4,7747
14,1147,523,230,4,4992
6,4968,463,1085,1,3213
20,5915,353,745,1,3960
17,4763,585,193,1,3088
24,1086,97,470,3,5701
14,5905,53,705,3,4992
21,6760,660,761,0,7305
22,9879,158,180,0,1944
15,2389,28,597,2,7747
