C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
13,3090,615,752,3,2433
4,5083,732,871,2,5246
19,10888,888,976,3,4058
3,1934,80,152,0,9936
3,4234,996,1130,0,9490
8,10686,949,147,3,4788
5,1087,841,327,1,5732
7,1143,692,654,1,4143
8,4379,492,903,0,5336
23,4665,505,656,1,896
13,7752,26,566,3,3490
6,2441,538,1061,0,2237
5,925,427,922,2,8466
3,8693,203,979,3,6767
3,6025,169,408,1,8803
16,6221,238,979,2,9023
22,316,968,945,3,6187
0,5805,894,1023,2,207
8,1509,490,224,4,1090
6,1286,151,861,3,9483
6,7012,114,351,0,2939
2,9183,106,408,0,6601
4,899,519,420,2,9040
11,3745,450,839,4,3202
5,2565,516,371,1,3721
21,7352,587,912,4,8766
0,5804,611,848,1,9330
21,3267,211,1056,0,3
6,8953,95,364,1,620
12,5788,268,1060,2,6065
5,2378,365,865,3,9950
0,2055,944,356,0,2452
20,8723,246,660,0,5764
7,2426,236,540,0,9428
8,7545,167,681,4,1374
7,7060,661,1046,1,8803
1,4184,584,754,0,2497
5,4436,83,760,2,4892
1,4901,476,169,2,2414
3,1098,653,867,2,2322
7,8826,70,964,1,2367
7,1539,306,481,0,7177
21,2804,902,1051,1,2307
1,1846,87,912,2,8729
0,7351,718,369,4,7474
9,3377,21,221,3,4146
5,10908,702,428,4,9000
3,6631,554,1077,4,3810
23,8830,175,413,2,9886
8,403,82,206,0,5083
8,1635,596,561,2,5706
4,9912,942,946,1,1842
7,10802,735,827,0,3598
2,7628,769,440,4,8750
3,10598,864,807,1,2292
2,2919,743,727,4,6395
15,1789,232,1005,4,9817
6,6749,531,611,2,974
15,7349,25,21,0,1125
6,7790,297,955,3,6571
17,5067,689,818,3,2994
2,5538,297,415,2,1258
6,6764,628,109,3,7261
2,2897,37,326,0,2363
14,5345,379,246,2,503
0,6350,998,872,0,4340
1,367,939,1046,1,8149
11,8675,546,433,3,6902
9,5686,297,417,2,7314
9,5404,839,285,1,6335
9,10957,907,317,3,7030
22,3197,625,481,0,4006
7,209,20,391,3,1182
7,3560,596,812,2,8512
9,10612,110,256,1,9735
7,6203,848,705,0,7367
7,7495,225,1003,2,3111
24,5527,294,261,1,8730
0,2477,430,290,1,2151
24,5539,794,371,4,3244
4,6672,68,146,0,2609
3,2689,377,585,4,761
2,9258,636,937,1,1799
4,5513,829,926,3,5394
8,1031,440,360,3,586
4,3438,360,232,0,8159
0,10119,266,654,3,7726
20,9637,606,646,3,8849
2,8429,674,431,0,6732
1,1734,826,967,0,8239
17,8268,81,686,2,9482
7,601,877,791,4,2819
20,5547,688,157,3,2020
3,3878,703,638,2,3945
15,9336,313,896,2,5413
5,10656,306,548,0,2200
10,10230,537,282,3,910
6,2769,957,596,4,5453
8,5210,714,314,2,3708
0,6116,627,449,3,3214
4,1153,420,848,1,1077
7,5601,486,728,4,569
12,8990,87,472,2,2289
9,1024,257,312,3,9931
6,5234,68,649,3,1270
24,5444,386,348,4,433
9,2712,951,438,2,7485
11,1037,906,130,4,3992
19,5330,192,409,0,1202
9,4186,350,1063,0,7386
17,8812,393,863,2,7697
15,2869,914,191,4,8476
22,7368,878,386,2,2549
2,8887,430,353,3,4553
0,7782,205,805,0,3693
9,4388,1000,59,4,5735
10,2011,937,323,1,8239
9,9658,668,441,1,7348
8,6782,29,133,0,2817
6,9190,161,802,3,7716
9,8888,350,149,2,6576
8,2861,976,400,2,532
5,7609,710,133,2,219
8,10825,601,190,3,5499
0,10646,549,438,2,3695
23,6375,60,222,2,2936
3,3413,359,818,1,9528
8,8705,948,947,0,4012
0,9168,766,842,0,4481
4,5651,626,873,3,594
4,5798,565,343,2,50
3,4810,430,207,0,1249
8,6355,592,650,1,6154
9,8631,819,321,1,6288
8,1626,709,478,1,569
9,9882,672,741,0,2959
7,5727,304,724,2,2697
13,5458,837,686,2,9538
9,9265,560,571,1,9750
1,5512,62,800,1,9065
18,4797,720,780,2,5813
19,4243,356,723,1,3746
2,10702,301,372,3,2036
0,7258,757,610,4,5368
14,2903,854,240,4,3129
23,4081,976,870,1,1349
3,10945,495,768,2,1701
