C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
14,10236,343,431,1,1449
5,9792,611,656,3,6331
7,1820,479,587,4,1769
5,8,652,870,0,7026
5,7444,327,678,0,3595
2,3610,309,436,2,3277
1,556,907,527,2,1511
19,10001,960,680,2,8617
7,8909,530,977,0,3993
5,7396,240,354,0,2508
7,7647,300,283,0,3063
17,1545,753,1059,3,6803
5,8440,526,753,4,1500
7,1223,902,338,3,2063
0,143,285,836,3,9593
17,8940,704,357,2,8238
0,1585,288,633,1,1756
14,5970,192,461,4,6670
5,10799,990,478,1,4847
7,8962,64,381,0,5921
6,1062,323,743,4,7131
13,3582,563,767,1,4421
7,1625,215,901,2,7366
3,9358,413,659,3,8182
9,2570,514,482,4,5980
18,3615,308,542,3,2030
9,5036,659,801,3,3229
7,6226,227,263,2,8177
3,6142,963,708,2,669
11,2016,17,72,0,8917
8,5349,964,425,0,5703
18,4994,772,701,3,1701
18,3811,11,1124,4,4851
6,9480,281,552,2,6520
3,330,356,245,3,6133
9,2336,709,461,0,2317
0,4862,23,711,0,1076
20,1804,826,733,1,3722
1,10958,104,379,3,2532
9,8011,992,1144,3,6501
2,2803,264,607,1,3320
3,3315,390,501,0,2359
2,3353,976,470,4,8690
0,5992,126,795,2,8455
6,2824,666,228,1,2598
21,9727,559,149,2,2257
20,9341,125,262,0,2339
10,6444,810,889,0,9401
7,6346,833,980,2,574
23,9938,863,575,1,4765
15,1520,597,513,1,3644
0,7125,800,322,4,3208
23,6598,386,396,3,5002
7,6421,635,326,4,531
8,4567,211,978,0,1827
0,7059,871,173,2,8881
4,8247,904,341,1,2235
14,5611,565,653,2,7319
10,9224,182,180,1,9735
2,7942,299,607,2,4830
21,1045,578,543,2,9723
8,4266,375,941,4,4088
20,6875,132,309,0,5983
20,5742,558,685,0,7782
18,2540,841,381,1,3848
5,9767,648,772,2,8433
8,1345,973,145,3,8461
5,9306,816,462,2,9414
16,8810,956,225,4,1302
0,10684,370,361,1,7416
7,7632,544,391,3,2994
2,10910,279,1056,1,2869
5,9088,861,921,2,471
6,10336,384,457,4,6033
13,8873,682,1000,1,668
20,138,203,510,3,1850
16,8028,244,853,4,3464
1,2452,343,345,1,4579
10,10107,196,918,3,5779
9,7635,178,593,4,4949
9,7813,428,584,0,9401
1,10682,629,535,1,5042
8,6339,835,473,1,5794
2,9775,16,155,4,2504
6,2947,242,330,0,9251
4,6369,840,407,2,533
7,9373,947,594,2,9975
4,5820,199,1073,2,4123
9,3240,602,661,2,3600
4,247,597,1067,3,3347
14,6755,665,276,0,8872
12,6384,124,112,3,6221
4,5968,479,1052,2,5090
17,7897,8,96,4,0
12,199,396,893,0,4186
12,431,37,300,2,3088
4,1660,589,963,0,3142
20,5313,328,115,3,5799
12,10135,382,344,4,3877
24,6393,401,479,0,2753
7,9994,162,824,0,5759
7,10599,221,757,4,2562
3,3822,447,737,1,4620
3,995,134,809,4,2420
5,192,265,934,4,6855
10,145,336,874,3,2549
8,1474,568,776,1,5012
16,847,764,885,0,2587
1,6884,991,1042,2,213
9,2829,709,488,1,1264
7,6284,546,733,4,3340
14,2847,89,135,0,6877
0,1805,181,921,2,2881
14,7958,745,643,3,6617
1,7002,27,410,2,9890
2,632,381,256,2,6225
24,4764,948,226,1,8380
1,8971,731,669,4,5798
6,2256,658,182,0,1746
7,10933,71,176,1,9676
18,7947,102,595,3,4809
6,9052,928,1025,0,7784
17,1042,635,563,1,5995
1,9671,970,1025,3,6266
5,3461,225,386,2,3179
0,9353,930,366,2,483
20,5367,776,762,4,6153
19,2801,476,1059,1,9525
4,3641,178,316,2,5534
15,7304,379,493,2,5367
0,9517,188,219,1,2364
16,4516,45,167,2,4205
5,8915,961,447,4,3458
24,9296,129,995,0,77
22,3186,594,447,2,1829
10,2398,86,941,3,4368
2,1734,190,290,2,1770
9,2121,590,952,4,828
1,7354,993,1072,4,2860
5,4913,629,882,3,1523
1,9599,110,468,3,4026
7,10380,618,570,4,1330
16,10683,868,654,0,1561
5,1321,884,876,3,453
9,10256,257,481,2,4234
7,9286,537,210,3,4459
24,5116,384,1000,4,5616
18,10038,317,1003,1,6352
2,2287,319,900,3,5185
3,10577,639,744,3,2498
0,6478,14,450,1,720
4,5929,661,503,3,5517
22,1420,470,1012,3,5805
10,5720,296,411,2,4552
6,6059,531,1020,4,918
9,6652,857,816,1,8936
