C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
12,6406,808,753,2,3280
6,2672,432,683,3,6410
16,10819,599,338,2,2225
11,8209,598,871,4,5579
12,9351,380,346,2,5303
20,4089,456,884,0,4290
15,3946,177,886,2,5579
17,7818,887,902,3,5579
9,6800,384,434,3,7119
3,8675,367,203,1,7060
19,6933,417,149,0,4290
24,8449,316,667,0,457
8,2417,280,566,0,489
1,2723,193,222,2,432
11,7518,361,927,1,7896
12,5520,900,167,3,5040
17,9337,380,824,0,1256
19,10169,828,1013,4,219
7,10619,102,395,4,4020
22,8025,998,944,3,9934
11,2882,106,558,4,9926
24,3419,975,663,1,1028
4,2231,138,270,2,5627
21,4634,545,1041,1,976
19,1744,304,196,0,5670
22,5209,171,700,1,9926
13,2081,26,367,3,5264
1,1071,847,289,4,675
14,6406,146,247,1,4290
20,1606,372,830,2,9728
5,10258,108,700,3,6743
5,8883,71,804,0,3961
15,3163,880,799,4,1235
5,97,476,977,3,282
23,9789,286,1032,4,2489
13,9458,558,194,1,512
19,3280,356,579,2,5264
7,5307,450,542,2,1248
1,9562,710,87,2,649
8,10264,495,919,2,77
15,8711,505,130,3,2489
14,4815,173,914,1,457
17,4412,608,361,1,8375
23,5101,514,453,2,2922
19,10784,630,415,1,9836
8,6576,636,486,2,5174
2,5287,564,243,1,218
22,1572,665,670,2,9199
21,2089,884,700,1,1621
21,713,497,199,4,9926
20,10735,533,1003,2,9836
20,5078,85,479,1,5040
8,5566,934,738,4,3751
15,7460,340,600,2,1523
2,5577,469,432,2,6503
18,5520,759,1027,3,1235
11,832,395,764,4,658
1,1775,374,916,4,7103
3,9414,477,409,0,5457
5,8985,335,687,0,8442
6,9572,859,918,1,5493
18,3343,378,992,4,2225
16,1775,316,446,2,1256
18,8159,343,188,4,1256
21,6787,137,944,2,9934
9,9011,34,65,3,1566
6,3681,0,129,2,9865
10,10823,264,954,2,976
18,10784,247,581,2,219
19,10588,619,892,3,9836
13,6466,201,577,2,976
7,937,239,959,1,9953
2,2005,69,720,4,8855
10,2400,245,359,2,5863
12,7911,578,548,1,2225
19,7518,199,263,4,5670
15,6674,534,729,2,6034
10,7551,193,727,1,5633
24,2005,59,728,4,1235
19,7818,937,953,3,5040
2,9652,213,461,4,8200
10,10735,689,1003,0,5863
19,2079,719,847,0,2922
18,2577,212,679,1,5264
2,8653,251,224,2,2320
9,2582,40,681,4,6945
20,5554,656,537,1,658
5,10094,125,449,2,7906
17,8985,177,859,0,4290
7,779,344,489,0,6914
9,10134,884,658,2,9814
4,3914,501,478,3,9052
15,3422,106,651,2,5040
24,7518,805,1017,2,976
8,3828,457,180,0,111
15,2512,533,879,1,2489
7,4385,993,935,1,8221
13,7818,197,578,3,6034
4,4912,720,285,0,1618
5,10852,114,438,1,1976
12,755,961,397,1,2692
5,232,49,1026,3,9723
16,4589,627,757,0,3705
22,8985,32,263,1,9836
20,2400,592,167,2,457
0,10446,179,51,1,1618
23,2005,458,290,1,3705
14,6411,261,1033,0,2922
15,10657,111,166,0,2692
18,6933,926,207,4,5348
20,7551,247,581,2,1028
7,5028,417,149,0,7674
21,1106,122,872,4,5955
20,7818,792,337,3,219
2,7518,855,490,3,602
21,3402,64,1045,1,9926
15,1572,768,746,2,2791
22,4508,587,326,0,5348
21,3031,174,1006,4,3280
4,9849,28,359,3,6965
