C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
0,454,378,345,2,6350
21,5464,877,1118,3,4793
19,5188,672,276,0,7958
7,7986,676,946,1,7545
24,10466,738,1089,3,9800
23,5838,808,859,4,2191
3,2343,40,442,3,2458
4,3987,185,887,4,6360
5,7255,500,251,0,4461
10,7919,708,551,4,3659
6,1825,483,120,0,1301
10,6635,995,574,4,8209
8,2132,340,818,2,5088
9,2815,673,909,1,4319
8,10693,257,373,4,6933
8,1896,623,327,0,4581
0,10095,791,1011,3,7348
6,1160,209,157,2,7196
7,8270,734,870,2,9703
7,64,711,769,3,6761
16,4090,83,463,0,6579
9,1803,828,605,1,1606
1,1169,860,412,0,6115
7,10437,913,678,2,4546
13,3217,198,1061,3,5966
2,9898,414,133,3,257
11,10732,959,738,1,5189
1,4026,210,277,4,5106
18,6488,382,459,0,568
18,3618,256,932,3,2947
19,9516,835,822,4,8907
13,7207,977,538,0,9932
18,2118,798,11,4,4975
11,1174,712,1005,0,8274
7,2138,698,53,1,5963
22,1767,893,123,4,840
15,1931,459,527,3,3009
10,10304,467,685,4,817
24,1525,327,242,2,1983
2,1998,494,515,4,7508
11,1642,1013,497,4,3512
11,4037,197,917,3,7330
24,5175,819,482,4,1120
1,3638,631,902,1,9259
7,8717,33,123,2,4003
21,4881,62,279,4,1301
11,55,998,982,2,9428
12,3344,691,495,4,8869
3,6489,558,177,3,5081
2,7644,161,636,2,9019
21,10011,696,811,4,4194
18,86,944,923,4,539
23,3490,301,364,2,7116
16,7037,939,477,1,2225
5,5802,527,505,2,1912
5,4523,62,382,0,1377
1,3152,673,713,3,9389
16,3568,1083,1093,3,2365
23,340,229,607,1,2136
8,3480,384,1092,4,2354
7,4626,379,545,2,8434
14,10616,557,842,4,2971
21,5230,493,1149,2,3881
4,9793,116,651,1,3155
7,2476,189,1059,4,5119
3,9065,453,545,1,8465
8,5656,496,1050,1,1733
7,8911,602,891,4,5468
17,3903,393,54,0,1828
19,10244,800,1106,2,7773
1,6954,145,594,3,5884
4,1968,870,998,3,6262
4,7857,996,389,0,2606
2,9032,11,552,2,9383
5,7876,936,220,0,9238
20,8250,799,88,2,1941
17,4197,651,239,3,7677
6,7370,762,381,3,128
12,2939,1053,334,3,8550
5,8407,7,1091,4,8819
3,1638,414,1122,2,4456
14,7139,256,433,3,7267
11,5104,452,1097,1,1207
3,4518,777,1105,0,5647
23,5412,858,833,4,3760
21,2845,572,1022,0,5006
5,2513,349,522,1,1886
21,4159,974,996,0,8383
13,5428,661,1097,2,4436
8,480,504,822,4,734
7,7235,469,1000,1,6863
19,3077,953,413,1,5192
18,5422,282,538,2,7308
0,6152,1095,502,2,8477
3,5217,381,570,4,4021
10,6661,482,425,4,141
19,756,158,226,2,8438
10,1253,861,1008,2,5134
10,9619,980,537,1,7305
22,9367,936,1007,4,8172
1,10885,234,1038,2,3243
7,5011,136,111,2,3467
1,3131,364,980,3,7000
2,4703,69,949,3,662
5,4970,617,189,4,8864
16,2896,1007,819,3,1848
18,2590,791,612,0,5075
13,7448,778,812,4,3312
0,7983,863,449,1,2296
4,8084,44,990,3,4052
24,586,318,159,4,3150
15,6468,995,282,4,7689
7,7874,970,795,3,5936
9,8269,11,259,4,6674
15,9124,132,98,2,8755
11,152,658,1062,2,6044
18,2420,679,933,1,5271
6,2561,234,24,1,4793
7,9806,64,973,0,1908
21,9741,1073,704,4,6578
21,187,561,1138,4,508
5,9627,765,328,1,1245
9,9574,482,1108,2,2354
11,2154,220,144,4,9082
2,6229,232,35,1,3903
5,6693,411,620,2,4551
17,5906,358,938,2,1826
7,7775,598,468,4,8918
18,8563,988,374,2,116
24,9458,691,166,1,9522
5,2770,441,333,3,3521
5,7632,922,503,3,6147
14,695,849,337,2,6515
15,1364,468,177,0,5443
4,7096,1088,970,3,3198
4,3640,216,1143,3,3344
9,4511,827,1119,4,9736
24,5910,552,962,2,9076
6,2822,832,127,0,6275
1,9234,56,145,1,1232
17,4004,724,900,1,1990
1,9713,724,676,1,9279
7,2475,366,727,3,8006
22,8860,314,23,1,2252
21,9582,256,960,0,6307
7,6695,46,498,3,142
2,7549,10,598,3,1381
1,8609,238,6,4,2667
6,5913,528,1100,4,8332
16,9739,749,1108,3,3280
17,10117,520,970,0,9145
8,1030,756,1099,4,4343
9,552,381,72,0,4117
0,7651,529,170,2,5315
10,7172,51,626,3,7894
7,8838,628,449,0,4848
3,9926,962,308,1,3044
5,5362,401,271,4,2860
8,7021,177,57,3,6330
8,2745,348,492,3,9976
13,1857,887,1038,4,104
17,2915,404,286,4,4806
4,9896,989,253,1,2936
8,1276,817,1111,2,8804
5,2960,692,1073,1,744
8,6870,159,358,4,7569
10,336,658,693,4,226
12,5165,127,683,0,6299
6,4376,174,7,4,8198
9,3486,710,641,1,9391
18,2538,397,317,4,8491
5,5851,130,803,1,2830
10,8204,364,1138,1,8540
0,1004,1060,226,1,5403
6,8478,771,129,3,2832
22,4112,694,192,2,5950
14,6767,548,662,1,3143
3,152,1006,869,0,8783
2,5938,814,133,3,5734
22,5521,626,228,3,6826
1,2976,169,1083,1,8245
7,5372,531,768,2,1645
0,6599,324,534,4,8824
13,5567,1048,762,4,8889
8,8744,631,25,1,8579
15,655,705,779,4,9154
7,2436,394,1092,4,2041
19,6570,11,523,4,6062
9,9234,796,671,1,3818
10,1059,107,1090,4,6540
10,10107,875,299,1,2780
2,9123,77,258,3,3281
2,2584,557,1037,1,217
6,986,576,328,0,6153
12,6014,954,518,2,2447
4,6180,336,545,2,7646
5,4565,1069,360,2,5191
7,3120,965,903,0,3409
14,4153,208,950,3,8918
14,8548,317,181,2,5834
8,2274,297,38,1,2228
18,8867,429,217,1,6377
1,9209,28,734,0,1289
13,1819,767,74,2,9192
9,1072,832,1104,0,6798
12,10157,156,367,4,953
0,1665,794,172,3,7124
23,4991,413,367,4,671
23,8455,722,135,4,9956
2,381,920,169,2,2727
7,7876,356,148,1,7209
9,2483,576,979,2,8638
24,9360,313,946,1,8443
2,7940,387,822,1,3573
7,8643,621,681,1,9510
7,5770,790,199,1,498
7,7052,958,113,4,5074
14,3418,920,665,1,4674
1,436,698,476,4,3655
10,1829,612,1007,1,9557
23,2872,976,880,1,3438
4,1514,698,110,4,3448
0,4265,1032,832,1,5287
5,2448,897,288,4,8266
4,6032,706,831,4,9540
5,9805,756,527,2,1598
4,9160,4,488,2,8577
4,5371,101,950,0,3587
6,8725,716,39,2,9269
6,7827,618,276,3,5186
6,3037,626,27,4,4659
4,8533,14,745,2,5977
0,594,141,696,4,9323
24,4763,117,379,1,4745
1,6939,811,657,1,3345
20,4910,124,250,3,3517
2,3460,984,737,3,816
15,7444,703,937,1,2156
10,5287,838,288,4,1613
24,10099,47,1074,2,6759
2,3533,675,780,2,7113
12,8212,189,610,0,7313
17,10099,1028,853,2,7630
8,919,743,673,4,9926
20,7747,69,1012,4,3792
22,9614,826,97,3,4876
0,3518,539,844,1,746
6,9790,838,804,4,8362
